 1782    0  .  .  .
 1787   11  .  .  .
 1792    9  .  .  .
 1797    7  .  .  .
 1802    6  .  .  .
 1807 10.5  .  .  .
 1812   19  .  .  .
 1817   17  .  .  .
 1822   15  .  .  .
 1827   23  .  .  .
 1832   26  .  .  .
 1837 17.5  .  .  .
 1842   10  .  .  .
 1847   13  .  .  .
 1852  9.5  .  .  .
 1857  6.5  .  .  .
 1862  3.5  .  .  .
 1867  5.5  .  .  .
 1872   17  .  .  .
 1877   19  .  .  .
 1882   15  .  .  .
 1887    9  .  .  .
 1892    7  .  .  .
 1897    6  .  .  .
 1902    3  .  .  .
 1907    2  .  .  .
 1912    2  .  .  .
 1917    3  .  .  .
 1922 2.75  .  .  .
 1927 2.75  .  .  .
 1932 0.75  .  .  .
 1937    4  .  .  .
 1942    3  .  .  .
 1947  1.5  .  .  .
 1952  0.5  .  .  .
 1957    3  .  .  .
 1962   10  .  .  .
 1967    7  .  .  .
 1972    0  .  .  .
 1977    0  .  .  .
