1959           .                  .           .            .
1960           .                  .       58085            .
1961           .                  .       75494            .
1962           .                  .       59123            .
1963           .                  .       48652            . 
1964           .                  .       76973            . 
1965           .                  .       83615            . 
1966           .                  .       48385            . 
1967           .                  .       41175            . 
1968           .                  .       39619            . 
1969           .                  .       36089            . 
1970           .                  .       23484            . 
1971           .                  .       28564            . 
1972           .                  .       32963            . 
1973           .                  .       28009            . 
1974           .              26669       31117            . 
1975           .              33423       26426            . 
1976           .              26039       37236            . 
1977           .               8208       48319            . 
1978           .              11560       45367            . 
1979           .               2035       26355            . 
1980           .                464       22102            . 
1981           .              10703       10876            . 
1982           .              29123        4991            . 
1983           .                  0       14153            . 
1984           .               3145       35179            . 
1985           .               9533       11486            .
1986           .                656        7923   	   .
1987	   29365	       2349       14924        	  0.39
1988       63500                246       15009           0.44
1989       11860               5581       10374           0.415
1990       97736                  .       33856           1.04
