1951         163                  .        8400           .
1952         142                  .       42700           .
1953         463                  .       45600           .
1954         697                  .       28500           .
1955         767                  .       28000           .
1956         440                  .       36300           .
1957        1063                  .       19900           .
1958        1342                  .        9500           .
1959        1373                  .        9000           .
1960        1397                  .        7600           .
1961        1051                  .        9900           .
1962        2708                  .        8800           .
1963        3859                  .        7200           . 
1964         773                 0.46      6966            . 
1965         607                 0.20      8246            . 
1966         511                 0.15     27767            . 
1967         354                 0.52     43099            . 
1968         334                 0.48     22642            . 
1969         348                 0.55     64354            . 
1970         301                 1.72     92853            . 
1971         309                 1.63     46485            . 
1972         605                 2.35     67993            . 
1973        1412                 2.37    125965            . 
1974        1148                 0.80     96972            . 
1975        1251                 0.32    112172            . 
1976         970                 1.12    103742            . 
1977         825                 0.25    105149            . 
1978         442                 2.12     17471            . 
1979         536                 1.72     55533            . 
1980         756                 1.52     57712            . 
1981         768                 0.57     47160            . 
1982         428                 1.70     47099            . 
1983         538                 0.71      8487            . 
1984         376                 1.53      7302            . 
1985         529                 1.01      5784            .
1986         630                 2.27      5504   	   .
1987	     878  	         3.00      4875    	   .
1988        1009                 0.62         .            .
1989           .                  .           .            .
1990           .                  .           .            .
