 1785 3917  .  .  .
 1790 5218  .  .  .
 1795 4315  .  .  .
 1800 3598  .  .  .
 1805 3034  .  .  .
 1810 5068  .  .  .
 1815 4909  .  .  .
 1820 5666  .  .  .
 1825 5197  .  .  .
 1830 7574  .  .  .
 1835 8993  .  .  .
 1840 7471  .  .  .
 1845 5406  .  .  .
 1850 5234  .  .  .
 1855 4741  .  .  .
 1860 4119  .  .  .
 1865 4213  .  .  .
 1870 3426  .  .  .
 1875 8428  .  .  .
 1880 7714  .  .  .
 1885 7205  .  .  .
 1890 6668  .  .  .
 1895 5873  .  .  .
 1900 5475  .  .  .
 1905 5044  .  .  .
 1910 2770  .  .  .
 1915 2598  .  .  .
 1920 3690  .  .  .
 1925 4378  .  .  .
 1930 1803  .  .  .
 1935  705  .  .  .
 1940 1477  .  .  .
 1945 1862  .  .  .
 1950 1208  .  .  .
 1955  986  .  .  .
 1960 2168  .  .  .
 1965 4755  .  .  .
 1970 2797  .  .  .
