1975    5531    .   .   .
1976    2935    .   .   .
1977    4300    .   .   .
1978    2704    .   .   .
1979    3925    .   .   .
1980    4597    .   .   .
1981    4264    .   .   .
1982    2796    .   .   .
1983    2952    .   .   .
1984    6300    .   .   .
1985    5985    .   .   .
1986    3072    .   .   .
1987    2327    .   .   .
1988    3433    .   .   .
1989    1694    .   .   .
1990    1057    .   .   .
1991    1060    .   .   .
1992    3520    .   .   .
1993    5615    .   .   .
1994    2488    .   .   .
1995    2719    .   .   .
1996    4502    .   .   .
