1974    857   .   .   .
1975      .   .   .   .
1976      .   .   .   .
1977      .   .   .   .
1978    755   .   .   .
1979    404   .   .   .
1980    997   .   .   .
1981   2459   .   .   .
1982   1425   .   .   .
1983    978   .   .   .
1984   1081   .   .   .
1985   1663   .   .   .
1986   1064   .   .   .
1987    493   .   .   .
1988   1562   .   .   .
1989    596   .   .   .
1990    345   .   .   .
1991    245   .   .   .
1992   1168   .   .   .
1993   1560   .   .   .
1994    968   .   .   .
1995   1600   .   .   .
1996    946   .   .   .
