1974    9   .   .   .
1975    .   .   .   .
1976    .   .   .   .
1977    .   .   .   .
1978   52   .   .   .
1979    6   .   .   .
1980   15   .   .   .
1981   33   .   .   .
1982   18   .   .   .
1983   12   .   .   .
1984   38   .   .   .
1985   26   .   .   .
1986   12   .   .   .
1987    9   .   .   .
1988   24   .   .   .
1989   24   .   .   .
1990    8   .   .   .
1991    2   .   .   .
1992  101   .   .   .
1993   87   .   .   .
1994   83   .   .   .
1995  125   .   .   .
1996  112   .   .   .
