1974    41   .   .   .
1975     1   .   .   .
1976   132   .   .   .
1977   192   .   .   .
1978   117   .   .   .
1979   195   .   .   .
1980   301   .   .   .
1981   110   .   .   .
1982   275   .   .   .
1983   220   .   .   .
1984   440   .   .   .
1985   190   .   .   .
1986   354   .   .   .
1987   355   .   .   .
1988   437   .   .   .
1989     .   .   .   .
1990     .   .   .   .
1991     .   .   .   .
1992   435   .   .   .
1993   526   .   .   .
1994   701   .   .   .
1995  1003   .   .   .
1996   602   .   .   .
