1974    33   .   .   .
1975     0   .   .   .
1976    11   .   .   .
1977    11   .   .   .
1978    12   .   .   .
1979     1   .   .   .
1980    19   .   .   .
1981    50   .   .   .
1982    16   .   .   .
1983     7   .   .   .
1984    47   .   .   .
1985    14   .   .   .
1986    32   .   .   .
1987    11   .   .   .
1988    21   .   .   .
1989     .   .   .   .
1990     .   .   .   .
1991     .   .   .   .
1992    80   .   .   .
1993    34   .   .   .
1994    50   .   .   .
1995    95   .   .   .
1996    93   .   .   .
