1974   223   .   .   .
1975   186   .   .   .
1976   294   .   .   .
1977     .   .   .   .
1978   390   .   .   .
1979   454   .   .   .
1980   433   .   .   .
1981   334   .   .   .
1982    86   .   .   .
1983   233   .   .   .
1984   419   .   .   .
1985   384   .   .   .
1986   725   .   .   .
1987   325   .   .   .
1988   543   .   .   .
1989   706   .   .   .
1990   551   .   .   .
1991   353   .   .   .
1992   921   .   .   .
1993   847   .   .   .
1994   677   .   .   .
1995   663   .   .   .
1996  1225   .   .   .
