1974    9   .   .   .
1975   36   .   .   .
1976   56   .   .   .
1977    .   .   .   .
1978   32   .   .   .
1979   37   .   .   .
1980   34   .   .   .
1981   62   .   .   .
1982   36   .   .   .
1983   22   .   .   .
1984   44   .   .   .
1985    0   .   .   .
1986   39   .   .   .
1987   16   .   .   .
1988   11   .   .   .
1989   15   .   .   .
1990   25   .   .   .
1991    8   .   .   .
1992   46   .   .   .
1993   65   .   .   .
1994   70   .   .   .
1995   74   .   .   . 
1996  123   .   .   .
