1970     138   .   .   .
1971     266   .   .   .
1972     175   .   .   .
1973     504   .   .   .
1974       .   .   .   .
1975       .   .   .   .
1976       .   .   .   .
1977       .   .   .   .
1978       .   .   .   .
1979       .   .   .   .
1980       .   .   .   .
1981       .   .   .   .
1982       .   .   .   .
1983       .   .   .   .
1984       .   .   .   .
1985       .   .   .   .
1986       .   .   .   .
1987       .   .   .   .
1988       .   .   .   .
1989       .   .   .   .
1990       .   .   .   .
1991       .   .   .   .
1992       .   .   .   .
1993       .   .   .   .
1994     730   .   .   .
1995     559   .   .   .
