1974    162   .   .   .
1975    778   .   .   .
1976    335   .   .   .
1977    371   .   .   .
1978    436   .   .   .
1979    455   .   .   .
1980    420   .   .   .
1981    619   .   .   .
1982    625   .   .   .
1983    853   .   .   .
1984    904   .   .   .
1985    960   .   .   .
1986    726   .   .   .
1987    570   .   .   .
1988    795   .   .   .
1989    668   .   .   .
1990    410   .   .   .
1991    311   .   .   .
1992    886   .   .   .
1993    962   .   .   .
1994   1179   .   .   .
1995   1298   .   .   .
1996   1285   .   .   .
