1974   121   .   .   .
1975    52   .   .   .
1976    37   .   .   .
1977   262   .   .   .
1978    89   .   .   .
1979    30   .   .   .
1980    17   .   .   .
1981    28   .   .   .
1982     8   .   .   .
1983    76   .   .   .
1984    98   .   .   .
1985    60   .   .   .
1986    58   .   .   .
1987    38   .   .   .
1988    45   .   .   .
1989    51   .   .   .
1990    34   .   .   .
1991    26   .   .   .
1992   224   .   .   .
1993   173   .   .   .
1994   172   .   .   .
1995   260   .   .   .
1996   185   .   .   .
