1965       .     4715       .   .
1966       .     4899   10599   .
1967       .     2518    3074   .
1968   42.70     5811   10011   .
1969   32.06     7441   14326   .
1970   66.26     8177   15181   .
1971  122.05     9712   15236   .
1972   82.47     4021    5975   .
1973   80.22     2754    4132   .
1974  391.21    10924   16197   .
1975  348.93     5766    8021   .
1976  267.20     5528    7773   .
1977  287.02     5783    8375   .
1978  173.40     9779   11694   .
1979  248.15    10436   13270   .
1980  229.42     6128    9269   .
1981  181.65     4352    5942   .
1982   99.63     2625    5615   .
1983  248.32     4072    6828   .
1984  362.09     3329    5075   .
1985  274.19     4491    6881   .
1986  208.86     4104    5505   .
1987  205.60     2958    3450   .
1988  154.50     1844    1844   .
1989       .     1654    1654   .
1990       .        .       .   .
1991  189.19        .       .   .
