1974    38   .   .   .
1975   191   .   .   .
1976   341   .   .   .
1977   789   .   .   .
1978   971   .   .   .
1979  1984   .   .   .
1980   792   .   .   .
1981  2101   .   .   .
1982  2112   .   .   .
1983  2007   .   .   .
1984  1805   .   .   .
1985  1553   .   .   .
1986  2815   .   .   .
1987  2505   .   .   .
1988  2075   .   .   .
1989  1369   .   .   .
1990  2296   .   .   .
1991  1415   .   .   .
1992  2347   .   .   .
1993  4009   .   .   .
1994  3592   .   .   .
1995  5800   .   .   .
1996  6923   .   .   .
