1974     3   .   .   .
1975    25   .   .   .
1976    47   .   .   .
1977    33   .   .   .
1978    21   .   .   .
1979    39   .   .   .
1980    63   .   .   .
1981    97   .   .   .
1982   523   .   .   .
1983   442   .   .   .
1984   288   .   .   .
1985    30   .   .   .
1986    92   .   .   .
1987    68   .   .   .
1988    44   .   .   .
1989    60   .   .   .
1990    82   .   .   .
1991    73   .   .   .
1992   169   .   .   .
1993   222   .   .   .
1994   331   .   .   .
1995   611   .   .   .
1996   507   .   .   .
