 1915  .     . 23643  .
 1916  .     . 11920  .
 1917  .     .  2710  .
 1918  .     .  2007  .
 1919  .     .  4063  .
 1920  .     .  7319  .
 1921  .     . 15311  .
 1922  .     . 16672  .
 1923  .     . 12877  .
 1924  .     . 11955  .
 1925  .     . 13808  .
 1926  .     . 12315  .
 1927  .     . 10379  .
 1928  .     .  6923  .
 1929  .     .  5359  .
 1930  .     . 17691  .
 1931  .     . 18001  .
 1932  .     . 13829  .
 1933  .     . 12938  .
 1934  .     . 10654  .
 1935  .     . 14750  .
 1936  .     . 26788  .
 1937  .     . 20316  .
 1938  .     . 15817  .
 1939  . 11995 14960  .
 1940  . 14641  6963  .
 1941  .  5175  4831  .
 1942  .  2468 10627  .
 1943  .  3147 20842  .
 1944  . 28155 24323  .
 1945  .  3511 14331  .
 1946  .  1756  4921  .
 1947  .  1296  4766  .
 1948  .  3185 14745  .
 1949  . 31407 23783  .
 1950  .  5408 14801  .
 1951  .  2090  6064  .
 1952  .  3066 14038  .
 1953  .   712 18375  .
 1954  .  9597 14396  .
 1955  .   773 19685  .
 1956  .    14 18857  .
 1957  .     . 10370  .
 1958  .     .  1399  .
 1959  .     .    79  .
