1951    .    63    .    .
1952    .    94    .    .
1953    .    34    .    .
1954    .    24    .    .
1955    .   172    .    .
1956    .    55    .    .
1957    .    55    .    .
1958    .    18    .    .
1959    .   309    .    .
1960    .    73    .    .
1961    .    28    .    .
1962    .    61    .    .
1963    .    75    .    .
1964    .   132    .    .
1965    .    81    .    .
1966    .    45    .    .
1967    .    52    .    .
1968    .   138    .    .
1969    .   186    .    .
1970    .    56    .    .
