1975        .          5910          .            .
1976        .          1326          .            .
1977        .         24194          .           0.67
1978      62773        6425          .           0.46
1979      25223          26          .           0.67
1980      25293       12405          .           0.47
1981      20779       20968          .           0.83
1982       5233        8632          .           0.24
1983      13879        6471          .           0.46
1984       9320        3757          .           0.08
1985       7421       10777          .           0.66
1986      18130       40862          .           1.01
1987       3352        1520          .           1.63
1988       1070          .           .           1.39
1989       2714          .           .           1.59
1990       7048          .           .            .
