 1952    .         221        .     .
  1953   .         289        .     .
 1954 .            154 . .
 1955 939         193      538  0.29
 1956 793         129      481  0.29
 1957 773         178      452  0.31
 1958 874         204      509  0.35
 1959 853         216      453  0.32
 1960 709         229      465  0.37
 1961 467         320      375  0.35
 1962 569         172      387  0.38
 1963 508         248      410  0.46
 1964 451         181      434  0.55
 1965 318         189      394  0.58
 1966 277         139      357  0.59
 1967 256         273      345  0.56
 1968 222         179      381  0.72
 1969 314         261      406  0.56
 1970 331         368      471  0.61
 1971 283         143      453  0.69
 1972 272         227      399  0.69
 1973 245         244      383   0.7
 1974 187         140      375  0.76
 1975 168         141      371  0.81
 1976 138         132      348  0.75
 1977 199         233      340  0.59
 1978 212         139      330  0.48
 1979 304         138      368  0.45
 1980 356         334      434  0.49
 1981 264         265      469  0.66
 1982 167         176      388  0.73
 1983 130          87      300  0.72
 1984 141         131      284  0.64
 1985 172         105      325  0.67
 1986 197         173      369  0.78
 1987 149         137      392  0.87
 1988 171          76      378   0.9
 1989 172         152      356  0.72
 1990 214         167      335   0.7
 1991 160          85      309  0.81
 1992 152         161      268  0.85
 1993 123          67      252  0.88
 1994 153         180      179  0.63
 1995 178         170      169  0.51
 1996 158         168      182  0.51
 1997 189         193      203  0.55
 1998 211          69      243  0.66
 1999 185         168      260  0.75
 2000 167         133      236  0.77
 2001 160         110      235  0.76
 2002 196           .      209  0.66
 2003 189           .      202   0.6
 2004 215           .      223   0.6
