1974    .       16049      .    .
1975    .       60340   3640    .
1976    .       48360      .    .
1977    .       65900      .    .
1978    .       62962      .    .
1979    .       105256     .    .
1980    .       55250      .    .
1981    .       56453      .    .
1982    .       74409      .    .
1983    .       73572      .    .
1984    .       92097   6716    .
1985    .       75182      .    .
1986    .       71505      .    .
1987    .       71620      .    .
1988    .       57238      .    .
1989    .       41551      .    .
1990    .       70537      .    .
1991    .       73909      .    .
