 1970    7      .  .  .
 1971   13      6  .  .
 1972  512    690  .  .
 1973   26    119  .  .
 1974  132    206  .  .
 1975   80    314  .  .
 1976   32    223  .  .
 1977   16   1055  .  .
 1978   63    506  .  .
 1979  270   3207  .  .
 1980   68    155  .  .
 1981   63   1542  .  .
 1982   16   1586  .  .
 1983   71    250  .  .
 1985   87  391.8  .  .
 1986  207   3572  .  .
 1987 1408  107.6  .  .
 1988  328   1906  .  .
 1989   34   2813  .  .
 1990  422 737.29  .  .
 1994  185  15666  .  .
