1977           .              10           .            . 
1978           .              10           .            . 
1979           .              10           .            . 
1980           .              50           .            . 
1981           .           10381           .            . 
1982           .             510           .            . 
1983           .             170           .            . 
1984           .              10           .            . 
1985           .              60           .            . 
1986           .             130           .            . 
