1956           .            .           7307          .
1957           .            .           6166          .
1958           .            .           7367          .
1959           .            .           4660          .
1960           .            .           4924          .
1961           .           3.7          5409          . 
1962           .           8.2          5110          . 
1963           .           6.9          4789          . 
1964           .           3.0          5453          . 
1965           .           2.9          4363          . 
1966           .           2.8          5704          . 
1967           .           2.8          5496          . 
1968           .           2.8          3557          . 
1969           .           2.8          2713          . 
1970           .           2.8          1562          . 
1971           .           3.3          1306          . 
1972           .           2.9           936          . 
1973           .           3.7           558          . 
1974           .           2.9           829          . 
1975           .           4.0          1263          . 
1976           .           4.4          1956          . 
1977           .           2.8          3322          . 
1978           .           3.0          5179          . 
1979           .           3.1          4879          . 
1980           .           3.3          7475          . 
1981           .           2.8          6500          . 
1982           .           3.1          6972          . 
1983           .           3.1          7596          . 
1984           .           2.9          4037          . 
1985           .           3.0          3025          .
1986           .            .           1814          .
1987           .            .            918          .
1988           .            .            414          .
1989           .            .            263          .
1990           .            .            433          . 
