1967           .           477000           .            . 
1968           .           134000           .            . 
1969           .            83000           .            . 
1970           .           311000           .            . 
1971           .            62000           .            . 
1972           .            42778           .            . 
1973           .            89497           .            . 
1974           .           135851           .            . 
1975           .           165000           .            . 
1976           .           126617           .            . 
1977           .           347907           .            . 
1978         53043         298270           .           0.534
1979         36644         471969           .           0.891
1980         25071         780414           .           0.849
1981         25189         457907           .           0.198
1982         54408         606972           .           0.195
1983         74809        1042489           .           0.140
1984        120183         616023           .           0.098
1985        209211         414349           .           0.117
1986        228803         438878           .           0.173
1987        246142            .             .           0.223
1988        325377            .             .           0.147
1989        327168            .             .           0.124
1990        312216            .             .           0.201
