1963           .           349820           .            . 
1964           .           145100           .            . 
1965           .           160360           .            . 
1966           .           210065           .            . 
1967           .            94388           .            . 
1968           .           453690           .            . 
1969           .            60790           .            . 
1970           .            33030           .            . 
1971           .            82882           .            . 
1972           .           155300           .            . 
1973           .            60150           .            . 
1974           .           336741           .            . 
1975           .            58598           .            . 
1976           .            51947           .            . 
1977           .           113197           .            . 
1978           .            90958           .            . 
1979           .           221367           .            . 
1980           .           211350           .            . 
1981           .           167584           .            . 
1982           .           180959           .            . 
1983           .            76190           .            . 
1984           .            14100           .            . 
