1960           .           525           .            . 
1961           .           430           .            . 
1962           .           210           .            . 
1963           .           240           .            . 
1964           .           180           .            . 
1965           .           200           .            . 
1966           .           219           .            . 
1967           .           135           .            . 
1968           .            95           .            . 
1969           .            81           .            . 
1970           .           423           .            . 
1971           .            28           .            . 
1972           .            18           .            . 
1973           .            14           .            . 
1974           .            10           .            . 
