1963           .            95337           .            . 
1964           .            24469           .            . 
1965           .            36504           .            . 
1966           .           275177           .            . 
1967           .            11675           .            . 
1968           .           277943           .            . 
1969           .            23044           .            . 
1970           .             7826           .            . 
1971           .             3516           .            . 
1972           .            15602           .            . 
1973           .             2198           .            . 
1974           .            18127           .            . 
1975           .             2091           .            . 
1976           .            15917           .            . 
