1963           .           239227           .            . 
1964           .            35072           .            . 
1965           .            15293           .            . 
1966           .           142226           .            . 
1967           .            37993           .            . 
1968           .           163598           .            . 
1969           .             5974           .            . 
1970           .             9002           .            . 
1971           .             9002           .            . 
1972           .            19057           .            . 
1973           .             2009           .            . 
1974           .            20034           .            . 
1975           .             2009           .            . 
1976           .             2009           .            . 
