1946             .            249.0           .            .
1947           126            222.0           .           0.34 
1948            73            225.0           .           0.21
1949           203            797.1           .           0.03
1950           243           1210.9           .           0.06
1951           267           1013.0           .           0.06
1952           281            711.0           .           0.03
1953           404            533.9           .           0.04
1954           598            334.0           .           0.02
1955           693            298.0           .           0.03
1956           776            792.0           .           0.03
1957           819            437.0           .           0.08
1958           778            430.0           .           0.08
1959           731            204.0           .           0.15
1960           694            359.0           .           0.13
1961           631            533.9           .           0.34
1962           488            123.0           .           0.79
1963           216            195.0           .           0.69
1964           119             86.0           .           0.92
1965            60             39.0           .           1.29
1966            24              7.7           .           1.16
1967            10              5.5           .           1.94
1968            3.3             0.9           .           1.40
1969            1.3             0.1           .           1.17
1970            0.5               .           .           0.85
