1903        .                .       450000            .
1904        .                .       520000            .
1905        .                .       490000            .
1906        .                .       490000            .
1907        .                .       630000            .
1908        .                .       540000            .
1909        .                .       530000            .
1910        .                .       590000            .
1911        .                .       605000            .
1912        .                .       600000            .
1913        .                .       670000            .
1914        .                .       330000            .
1915        .                .       140000            .
1916        .                .       170000            .
1917        .                .       100000            .
1918        .                .       130000            .
1919        .                .       420000            .
1920        .                .       450000            .
1921        .                .       300000            .
1922        .                .       270000            .
1923        .                .       350000            .
1924        .                .       520000            .
1925        .                .       380000            .
1926        .                .       420000            .
1927        .                .       420000            .
1928        .                .       500000            .
1929        .                .       570000            .
1930        .                .       510000            .
1931        .                .       450000            .
1932        .                .       400000            .
1933        .                .       440000            .
1934        .                .       480000            .
1935        .                .       520000            .
1936        .                .       600000            .
1937        .                .       670000            .
1938        .                .       620000            .
1939        .                .            .            .
1940        .                .        20000            .
1941        .                .        30000            .
1942        .                .        50000            .
1943        .                .       100000            .
1944        .                .       130000            .
1945        .                .       150000            .
1946        .                .       470000            .
1947     4416600           13333     600000            . 
1948     3916600           16666     660000            . 
1949     3875000           17083     470000            . 
1950     3416600           19166     480000            . 
1951     2833300           22500     640000            . 
1952     2708300           17500     600000            . 
1953     2333300           17916     830000            . 
1954     2250000           10416     730000            . 
1955     1958300           52500     760000            . 
1956     2000000           12500     670000            . 
1957     1875000           16666     690000            . 
1958     1416600            3333     680000            . 
1959     2666700           39166     690000            . 
1960     2166700            3800     685000            . 
1961     1833300           12400     685000            . 
1962     1250000           12300     620000            . 
1963     2250000           22800     720000            . 
1964     2125000           12500     860000            . 
1965     1500000            9700    1150000            . 
1966     1333300           14200     900000            . 
1967     1000000           13500     680000            . 
1968      458300            7100     700000            . 
1969      458300           14300     540000            . 
1970      379190           12000     550000           1.096 
1971      266161            7200     480000           1.365 
1972      290480            2800     475000           0.687 
1973      236664            7800     460000           1.120 
1974      165544            1300          .           1.034 
1975       87136            1500          .           1.369 
1976       85452            1900          .           1.217 
1977       58019            2000          .           0.641 
1978       78095            3000          .           0.043 
1979      119654            4700      17908           0.057 
1980      143869            8500      60994           0.250 
1981      210301           15000     140902           0.313 
1982      293694           14000     235245           0.247 
1983      453917           12600     305954           0.319 
1984      746038           20000     317255           0.405 
1985      807249           27100      53420           0.578 
1986      906803           22500     547191           0.477 
1987     1010461           12752     624907           0.461 
1988     1255501               .     698449           0.419        
1989     1526239               .     698135           0.390 
1990         .                 .     553082            .
