 1968     .       .  .  .
 1969     .       .  .  .
 1970     .       .  .  .
 1971     .       .  .  .
 1972     .       .  .  .
 1973     .   4.511  .  .
 1974     .  53.304  .  .
 1975     .  40.490  .  .
 1976 1.160  47.663  .  .
 1977 0.709 367.388  .  .
 1978 0.588 102.325  .  .
 1979 0.528  78.771  .  .
 1980 1.026  68.341  .  .
 1981 1.633 136.607  .  .
 1982 1.569  61.589  .  .
 1983 1.085  47.277  .  .
 1984 0.945  98.575  .  .
 1985 0.912  54.995  .  .
 1986 0.793  48.117  .  .
 1987 0.690  38.627  .  .
 1988 0.712 141.227  .  .
 1989 0.693  66.055  .  .
 1990 0.652  41.679  .  .
 1991 0.716  34.753  .  .
 1992 0.783       .  .  .
 1993 0.747       .  .  .
 1994 0.573       .  .  .
