1972           .           11500           .            . 
1973           .            9300           .            . 
1974           .            8200           .            . 
1975           .            7800           .            . 
1976           .            8900           .            . 
1977        1010000         7400           .           0.139 
1978         920000         4200          164          0.123
1979         880000         5600          190          0.138
1980         892000        10900          176          0.134
1981         813000         6800          165          0.154
1982         735000         6300          180          0.128
1983         810000         7300          174          0.138
1984         807000         7800          147          0.129
1985         643000         3700          154          0.171
1986         596000         3600          139          0.172
1987         545000          626          122          0.177
