1953           .           260           .            . 
1954           .           252           .            . 
1955           .           156           .            . 
1956           .           106           .            . 
1957           .           141           .            . 
1958           .           172           .            . 
1959           .           487           .            . 
1960           .           573           .            . 
1961           .           554           .            . 
1962           .           394           .            . 
1963           .           651           .            . 
1964           .           364           .            . 
1965           .           721           .            . 
1966           .           635           .            . 
1967           .           484           .            . 
1968           .           352           .            . 
1969           .           609           .            . 
1970           .           568           .            . 
1971           .            73           .            . 
1972           .           105           .            . 
1973           .            42           .            . 
1974           .            22           .            . 
1975           .           115           .            . 
1976           .            90           .            . 
1977           .           188           .            . 
1978           .           209           .            . 
1979           .            66           .            . 
1980           .           392           .            . 
1981           .           331           .            . 
