 1970   .  .   7  .
 1971   .  .   6  .
 1972   .  .   8  .
 1973   .  .   8  .
 1974   .  .  10  .
 1975   .  .   9  .
 1976   .  .  15  .
 1977   .  .  19  .
 1978   .  .  37  .
 1979   .  .  37  .
 1980   .  .  46  .
 1981   .  .  44  .
 1982 327  .  66  .
 1983 429  . 108  .
 1984 471  . 132  .
 1985 246  . 130  .
 1986 166  .  68  .
 1987 146  .  43  .
 1988 181  .  47  .
 1989 216  .  63  .
 1990 262  .  83  .
 1991 321  .  82  .
 1992 239  .  72  .
 1993 233  .  59  .
 1994 161  .  29  .
 1995 193  .  26  .
 1996 253  .  30  .
 1997 281  .   .  .
