1958        .         .        171      .
1959        .         .       2864      .
1960        .         .        .        .
1961        .         .        .        .
1962        .         .        .        .
1963        .         .        .        .
1964        .         .      13408      .
1965        .         .      14719      .
1966        .         .      18200      .
1967        .         .      32064      .
1968        .         .      57902      .
1969        .         .      50351      .
1970        .         .      70094      .
1971        .         .      43054      .
1972        .         .      42095      .
1973        .         .      53386      .
1974        .         .      62462      .
    1975   .  92  .  .
    1976   . 177  .  .
    1977   . 704  .  .
 1978  49 312  .  .
 1979  80 354  .  .
 1980 138 281  .  .
 1981 253  91  .  .
 1982 428 517  .  .
 1983 600 152  .  .
 1984 714 420  .  .
 1985 753 255  .  .
 1986 754 159  .  .
 1987 756  91  .  .
 1988 752 122  .  .
 1989 738 291  .  .
 1990 709 284  .  .
 1991 642 165  .  .
 1992 544 322  .  .
 1993 474 155  .  .
 1994 461 129  .  .
 1995 450 117  .  .
 1996 436 250  .  .
 1997 422 130  .  .
 1998 392   .  .  .
 1999 359   .  .  .
 2000 338   .  .  .
