 1959      .  93350      .     .
 1960      .  27891      .     .
 1961      .  31779      .     .
 1962 200529 299753    200 0.001
 1963 205110  53166  20800 0.057
 1964 198101  27271  90300 0.282
 1965 168313  21459 109101 0.449
 1966 132967  20531  85903 0.500
 1967 104466  53330  55900 0.445
 1968  85282  34599  44899 0.382
 1969  75400  20027  38802 0.317
 1970  64809  21608  66903 0.698
 1971  51638  17305  21801 0.310
 1972  45104  20862  33199 0.603
 1973  37411  14488  11801 0.252
 1974  33833  14174  22400 0.512
 1975  28414  23579  16600 0.454
 1976  24218  56776  14000 0.456
 1977  21006  47309   8080 0.294
 1978  19311  66190   5286 0.194
 1979  18407  14904   5487 0.196
 1980  17598  41860   4700 0.165
 1981  17125 112538   3622 0.118
 1982  17345  23525   1014 0.026
 1983  18987 100774    280 0.005
 1984  21434  72333    631 0.009
 1985  25013  43831    308 0.004
 1986  29084  75303    286 0.003
 1987  34243  41011   1004 0.008
 1988  41031  62772   1979 0.016
 1989  47481  22460   2706 0.015
 1990  54487  17041  13231 0.075
 1991  60078  12640   1851 0.016
 1992  67400  28600  10278 0.054
 1993  72962  28600  13330 0.068
 1994  77366  28600  10865 0.053
 1995  82261  28600  10303 0.049
 1996  85836  28600  12827     .
 1997  87529  28600  12648 0.062
 1998  88316      .   9051 0.047
 1999  88728      .  11880 0.062
 2000  87539      .   8576 0.046
