1957           .            450           .            . 
1958           .            250           .            . 
1959           .            319           .            . 
1960           .            522           .            . 
1961           .           1054           .            . 
1962           .           1055           .            . 
1963           .            798           .            . 
1964           .            613           .            . 
1965           .            401           .            . 
1966           .            295           .            . 
1967           .            122           .            . 
1968           .            173           .            . 
1969           .            285           .            . 
1970           .            416           .            . 
1971           .            287           .            . 
