 1957      . 24876  .     .
 1958      . 20601  .     .
 1959      . 22347  .     .
 1960 114660 19352  . 0.042
 1961 107827 33957  . 0.367
 1962  91828 44542  . 0.187
 1963  83495 19433  . 0.262
 1964  73789 15244  . 0.331
 1965  64671 33183  . 0.254
 1966  57751 22853  . 0.358
 1967  49920  8416  . 0.422
 1968  41039  9349  . 0.927
 1969  31683 14216  . 0.554
 1970  27355  9122  . 0.401
 1971  24482  3554  . 0.413
 1972  22402  2309  . 0.240
 1973  21618  2243  . 0.144
 1974  20459  3286  . 0.579
 1975  17255 10196  . 0.441
 1976  14195 30533  . 1.113
 1977  10684 52726  . 0.267
 1978   9927 20763  . 0.225
 1979   9330 16092  . 0.178
 1980   8911 14758  . 0.114
 1981   8646  5825  . 0.124
 1982   8526  6095  . 0.020
 1983   9055  4530  . 0.015
 1984  10204  8211  . 0.067
 1985  11457  5523  . 0.024
 1986  13352  5218  . 0.014
 1987  15773  4816  . 0.019
 1988  18360  4686  . 0.017
 1989  20716  4783  . 0.046
 1990  21852  4681  . 0.116
 1991  21433  6226  . 0.105
 1992  20859 11397  . 0.069
 1993  20418 11298  . 0.082
 1994  19777 11149  . 0.039
 1995  19661 11121  . 0.028
 1996  19361 11049  . 0.066
 1997  18690 10882  . 0.018
 1998  18632     .  . 0.025
 1999  18601     .  . 0.009
 2000  18844     .  . 0.010
