 1782   0  .  .  .
 1787   4  .  .  .
 1792   4  .  .  .
 1797   7  .  .  .
 1802   5  .  .  .
 1807 7.5  .  .  .
 1812   3  .  .  .
 1817   4  .  .  .
 1822   2  .  .  .
 1827   1  .  .  .
 1832   7  .  .  .
 1837   6  .  .  .
 1842   2  .  .  .
 1847   1  .  .  .
 1852 2.5  .  .  .
 1857 7.5  .  .  .
 1862   8  .  .  .
 1867   7  .  .  .
 1872 2.5  .  .  .
 1877 3.5  .  .  .
 1882   4  .  .  .
 1887 7.5  .  .  .
 1892   2  .  .  .
 1897   5  .  .  .
 1902   7  .  .  .
 1907   2  .  .  .
 1912   8  .  .  .
 1917   9  .  .  .
 1922 7.5  .  .  .
 1927   7  .  .  .
 1932 7.5  .  .  .
 1937   9  .  .  .
 1942 8.5  .  .  .
 1947   8  .  .  .
 1952 7.5  .  .  .
 1957   4  .  .  .
 1962   7  .  .  .
 1967   1  .  .  .
 1972   0  .  .  .
 1977   0  .  .  .
