1968         .   2002320         .         .
1969         .     33791         .         .
1970    510900   2231943   1491420 1.3658879
1971     30600     35743      3191 0.0991945
1972   1112748   3383774   1119195 0.6960399
1973     30000     54214      5743 0.1751571
1974   1162598   1896044   2221176 1.0683345
1975     31775    510055     22439 0.5342594
1976   1043750   4079262    852294 0.5969496
1977    434692   1462434     75363 0.1598808
1978   2293479   1796849   1785783 0.5758462
1979    867726   1384914    594708 0.5219815
1980   1011026    199535    785823 0.5750689
1981    408500         .    976414 1.2209014
1982    157274         .     42261 0.2380002
