1971           .                  .           .            . 
1972           .                  .        5165            . 
1973           .                  .        3951            . 
1974           .                  .        3499            . 
1975           .                  .        4965            . 
1976           .              36113        9332            . 
1977           .              31168       12997            . 
1978       34317              28170       13477           0.942 
1979       26469              20170       11150           0.668 
1980       26111              40439        9606           0.785 
1981       23316              83004        8238           0.573 
1982       19369              60901        7929           1.146 
1983       21027              40139        7145           0.698 
1984       36260              32419        7965           0.408 
1985       43073              33679       10096           0.435
1986       39243              36315       11397   	  0.419
1987	   33905    	     101748       12519    	  0.595
1988       27176                  .       10819           0.721
1989       24603                  .        5939           0.403
1990       46353                  .       10001           0.475
