1966       .     3    .    .
1967       .    12    .    .
1968       .    19    .    .
1969       .    47    .    .
1970       .   127    .    .
1971       .    20    .    .
1972    0.18     9    .    .
1973    0.36    55    .    .
1974    0.18     8    .    .
1975    0.13   168    .    .
1976    0.34    63    .    .
1977    0.17    37    .    .
1978    0.39     4    .    .
1979    0.86     3    .    .
1980    0.37     4    .    .
1981    0.11     9    .    .
1982    0.02    45    .    .
1983    0.02   161    .    .
1984    0.03     4    .    .
1985    0.06    28    .    .
1986    0.06    22    .    .
1987    0.04     6    .    .
1988    0.03     3    .    .
1989       .     2    .    .
