1964           .           1280           .            . 
1965           .           1490           .            . 
1966           .           2040           .            . 
1967           .           3160           .            . 
1968           .           7420           .            . 
1969           .           6310           .            . 
1970           .           5310           .            . 
1971           .           1260           .            . 
1972           .           1530           .            . 
1973           .           1560           .            . 
1974           .           4090           .            . 
1975           .           4610           .            . 
1976           .           2640           .            . 
1977           .           1820           .            . 
1978           .           5260           .            . 
1979           .           1820           .            . 
1980           .            485           .            . 
