 1782  0.3  .  .  .
 1787    1  .  .  .
 1792    0  .  .  .
 1797    0  .  .  .
 1802    0  .  .  .
 1807    0  .  .  .
 1812    0  .  .  .
 1817    0  .  .  .
 1822 0.25  .  .  .
 1827    1  .  .  .
 1832    0  .  .  .
 1837  0.5  .  .  .
 1842  0.5  .  .  .
 1847    0  .  .  .
 1852    0  .  .  .
 1857    0  .  .  .
 1862  0.3  .  .  .
 1867 1.25  .  .  .
 1872 0.75  .  .  .
 1877  0.3  .  .  .
 1882 0.25  .  .  .
 1887    1  .  .  .
 1892    0  .  .  .
 1897  0.5  .  .  .
 1902  0.5  .  .  .
 1907    0  .  .  .
 1912    0  .  .  .
 1917 1.25  .  .  .
 1922  1.5  .  .  .
 1927 2.75  .  .  .
 1932 1.75  .  .  .
 1937    0  .  .  .
 1942    0  .  .  .
 1947  0.3  .  .  .
 1952 0.75  .  .  .
 1957    0  .  .  .
 1962    0  .  .  .
 1967    0  .  .  .
 1972    0  .  .  .
 1977    0  .  .  .
