1932        3521            5939           .            . 
1933        3417           12949           .            . 
1934        3628           21187           .            . 
1935        2826            6113           .            . 
1936        1830            4208           .            . 
1937        1208            8030           .            . 
1938        1196           10353           .            . 
1939        1598           10089           .            . 
1940        1749           17615           .            . 
1941        2456           21545           .            . 
1942        2052            9178           .            . 
1943        1680            4875           .            . 
1944        1257            5550           .            . 
1945         720            3558           .            . 
1946         566            2424           .           1.179 
1947         405            2487           .           0.595 
1948         740            5781           .           0.628 
1949         793            6357           .           0.326 
1950         780            5505      353088           1.054 
1951         277             433      144826           1.207 
1952         136             592       13682           0.876 
1953         202            1450       16795           0.151 
1954         239            1786       80159           0.196 
1955         170             570       78289           0.901 
1956         108             394       45933           1.108 
1957          90             877       31204           1.002 
1958         177            2366      120498           1.113 
1959         122            1350       51323           2.424 
1960          88             430       38914           0.808 
1961          54             166       27111           0.528 
1962          27             110        6695           1.440 
1963          21               .        5988           0.562   
1964          11               .        6767           0.896
1965           3               .        1410           0.600    
1966           .               .         439            .  
1967           .               .          74            . 
1968           .               .          62            .    
1969          64               .          53            .    
1970           .               .         221            .    
1971           .               .         149            .    
1972           0               .         186            .   
1973           .               .          76            .    
1974           .               .           7            .      
1975          62               .           3            .      
1976           .               .          27            .        
1977           .               .           6            .      
1978          62               .           5            .        
1979           .               .          18            .    
1980           .               .          38            .  
1981          69               .          31            .        
1982           .               .         145            .  
1983           .               .         388            .      
1984         150               .         259            .    
1985         150               .         653            .     
1986          26               .        1283            .     
1987         150               .        2309            .          
1988         200               .        4172            .              
1989         260               .        4308            . 
