1948         .         .       .       .
1949         0         .       .       .
1950         0         .       .       .
1951         0         .       .       .
1952         0         .       .       .
1953         0         .       .       .
1954         0         .       .       .
1955         0         .       .       .
1956         0         .       .       .
1957         0         .       .       .
1958         0         .       .       .
1959         0         .       .       .
1960         0         .       .       .
1961         0         .       .       .
1962         0         .       .       .
1963         0         .       .       .
1968     0.186     14192       .       .
1969         0         .       .       .
1970     0.016      5845       .       .
1971     1.937    250454       .       .
1972     0.964     95316       .       .
1973     0.131      6660       .       .
1974     0.189     19947       .       .
1975     1.136    158274       .       .
1976     1.274     80726       .       .
1977     0.022      4180       .       .
1978     0.743     45461       .       .
1979      1.78    175949       .       .
1980     3.396    431591       .       .
1981     0.007      7359       .       .
1982     0.641     90142       .       .
1983         .    585133       .       .
1984         .    177565       .       .
