 1894   835  .  .  .
 1895  2050  .  .  .
 1896   630  .  .  .
 1897 10250  .  .  .
 1898   570  .  .  .
 1899  1375  .  .  .
 1900   400  .  .  .
 1901 12900  .  .  .
 1902   500  .  .  .
 1903   460  .  .  .
 1904   225  .  .  .
 1905  9250  .  .  .
 1906   460  .  .  .
 1907   190  .  .  .
 1908   240  .  .  .
 1909  3975  .  .  .
 1910   865  .  .  .
 1911   240  .  .  .
 1912   375  .  .  .
 1913  6610  .  .  .
 1914   820  .  .  .
 1915   480  .  .  .
 1916   155  .  .  .
 1917   595  .  .  .
 1918    85  .  .  .
 1919   205  .  .  .
 1920   190  .  .  .
 1921   220  .  .  .
 1922   290  .  .  .
 1923   325  .  .  .
 1924   245  .  .  .
 1925   255  .  .  .
 1926   750  .  .  .
 1927   670  .  .  .
 1928   165  .  .  .
 1929   385  .  .  .
 1930  2600  .  .  .
 1931   335  .  .  .
 1932   335  .  .  .
 1933   415  .  .  .
 1934  1455  .  .  .
 1935   375  .  .  .
 1936   745  .  .  .
 1937   650  .  .  .
 1938  1235  .  .  .
 1939   235  .  .  .
 1940   565  .  .  .
 1941  1020  .  .  .
 1942  2900  .  .  .
 1943   205  .  .  .
 1944   368  .  .  .
