1948         .     30026       .       .
1949         .       590       .       .
1950         .       300       .       .
1951         .       623       .       .
1952         .     38000       .       .
1953         .      7885       .       .
1954         .       698       .       .
1955         .      2505       .       .
1956         .     15990       .       .
1957         .      1163       .       .
1958         .       441       .       .
1959         .     10655       .       .
1960         .     84049       .       .
1961         .     14706       .       .
1962         .       524       .       .
1963         .      7648       .       .
1964         .    105060       .       .
1965         .      3087       .       .
1966         .       936       .       .
1967         .      6661       .       .
1968     7.645     82525       .       .
1969     0.374      5001       .       .
1970     0.025       580       .       .
1971     0.238     12647       .       .
1972     6.831    132617       .       .
1973     0.932     12525       .       .
1974     0.084      1992       .       .
1975     2.261     22413       .       .
1976    18.529     73413       .       .
1977      2.14     22042       .       .
1978     0.225      1866       .       .
1979         3     17966       .       .
1980    12.171     79631       .       .
1981     4.112     18129       .       .
1982     1.171      9747       .       .
1983     5.712     31069       .       .
1984         .    155730       .       .
1985         .     96198       .       .
1986         .     27769       .       .
1987         .     34305       .       .
1988         .    390027       .       .
1989         .      5851       .       .
