1948         .    131635       .       .
1949         .     55002       .       .
1950         .    184157       .       .
1951         .    117511       .       .
1952         .     11006       .       .
1953         .    218207       .       .
1954         .    235297       .       .
1955         .     72848       .       .
1956         .     21608       .       .
1957         .      8842       .       .
1958         .     31072       .       .
1959         .     39259       .       .
1960         .      4623       .       .
1961         .     57809       .       .
1962         .     47938       .       .
1963         .    166479       .       .
1964         .     25040       .       .
1965    10.471    205659       .       .
1966    14.493     76161       .       .
1967     7.002     88405       .       .
1968     3.584    155396       .       .
1969    37.132    412913       .       .
1970     9.843    384038       .       .
1971     5.233    155255       .       .
1972      19.4    342374       .       .
1973    38.817    355612       .       .
1974    43.627    276337       .       .
1975    25.961    145953       .       .
1976    57.578    304515       .       .
1977    19.859    235677       .       .
1978    43.047   1366147       .       .
1979    27.036    141028       .       .
1980    53.003    364714       .       .
1981    27.213    270292       .       .
1982    58.644   1501237       .       .
1983    38.38     246698       .       .
1984    45.937    634802       .       .
1985    20.27      69261       .       .
1986    21.77      43640       .       .
1987    29.53     258264       .       .
1988    22.2      509115       .       .
1989    21.66     565795       .       .
1990    18.22     435922       .       .
1991    42.91          .       .       .
1992    46.07          .       .       .
1993    38.82          .       .       .
