1952           .             .          266            .
1953           .             .          249            .
1954           .             .          254            .
1955           .             .          223            .
1956           .             .          255            .
1957           .             .          347            .
1958           .             .          317            .
1959           .             .          296            . 
1960           .             .          401            . 
1961           .             .          430            . 
1962           .             .          414            . 
1963           .             .          365            . 
1964           .             .          421            . 
1965           .             .          374            . 
1966           .             .          332            . 
1967           .             .          455            . 
1968           .             .          317            . 
1969           .             .          268            . 
1970           .             .          183            . 
1971           .             .          283            . 
1972           .             .          370            . 
1973           .             .          325            .
1974           .             .          436            .  
1975           .             .          468            .
1976           .             .          435            .
1977           .             .          513            .
1978           .             .          495            .
1979           .             .          373            . 
1980           .             .          324            .
1981           .             .          282            . 
1982           .         3103          212            . 
1983           .         6142           276            . 
 1984  921 5252  337 0.3813
 1985 1187 4943  397 0.2298
 1986 2041 3791  643 0.3888
 1987 2234 6288  722 0.6122
 1988 2398 7830  706 0.3437
 1989 2466 7839  824 0.3795
 1990 3109 9079 1050 0.2988
 1991 3576 7223 1011 0.4098
 1992 5183 3635 1294 0.3824
 1993 5055 3663 1439 0.3996
 1994 5326 1998 1198 0.2661
 1995 4389 1011 1297 0.3827
 1996 4168 5158 1059 0.2611
 1997 3279 2869  814 0.3143
 1998 2513 2063  605 0.2801
 1999 2898    .  638 0.2824
 2000 2737    .  784  0.385
