 1954  .   1.2  .  .
 1955  .  12.5  .  .
 1956  .   9.8  .  .
 1957  .   2.1  .  .
 1958  .  19.5  .  .
 1959  .   0.1  .  .
 1960  .     9  .  .
 1961  .     6  .  .
 1962  .   6.1  .  .
 1963  .   5.4  .  .
 1964  .  10.6  .  .
 1965  .   9.5  .  .
 1966  .  13.6  .  .
 1967  .   5.3  .  .
 1968  .   6.3  .  .
 1969  .   4.8  .  .
 1970  .  57.2  .  .
 1971  .   6.3  .  .
 1972  .    11  .  .
 1973  .   1.3  .  .
 1974  .  15.3  .  .
 1975  .   4.7  .  .
 1976  .   2.4  .  .
 1977  .   1.2  .  .
 1978  .     6  .  .
 1979  .   2.8  .  .
 1980  .     1  .  .
 1981  .   1.3  .  .
 1982  .    13  .  .
 1983  .   0.9  .  .
 1984  .   2.8  .  .
 1985  .   3.7  .  .
 1986  .   0.5  .  .
 1987  .  12.1  .  .
 1988  .   0.7  .  .
 1989  .  97.8  .  .
 1990  .   3.1  .  .
 1991  .  12.2  .  .
 1992  .   4.3  .  .
 1993  . 105.5  .  .
 1994  .  19.3  .  .
 1995  .  17.7  .  .
 1996  . 154.4  .  .
