 1954  . 25.1  .  .
 1955  .  5.9  .  .
 1956  .  8.2  .  .
 1957  .  1.3  .  .
 1958  . 22.5  .  .
 1959  .  1.8  .  .
 1960  .  4.7  .  .
 1961  .  1.5  .  .
 1962  .  6.6  .  .
 1963  .  4.1  .  .
 1964  . 13.3  .  .
 1965  . 21.6  .  .
 1966  .  3.3  .  .
 1967  .  4.1  .  .
 1968  .    9  .  .
 1969  .  6.2  .  .
 1970  . 17.1  .  .
 1971  .    2  .  .
 1972  .   25  .  .
 1973  .  1.1  .  .
 1974  .  3.9  .  .
 1975  .  5.2  .  .
 1976  .  1.7  .  .
 1977  .    1  .  .
 1978  .  4.8  .  .
 1979  .  0.9  .  .
 1980  .  1.8  .  .
 1981  .  2.4  .  .
 1982  .  6.2  .  .
 1983  .    1  .  .
 1984  .  1.5  .  .
 1985  .  2.1  .  .
 1986  .  2.2  .  .
 1987  .  2.5  .  .
 1988  .  0.4  .  .
 1989  .  2.9  .  .
 1990  .  0.9  .  .
 1991  .  1.1  .  .
 1992  .  4.3  .  .
 1993  .  9.3  .  .
 1994  . 21.5  .  .
 1995  . 10.4  .  .
 1996  . 43.6  .  .
