 1970       .  5.4782  .  .
 1971       .  6.9978  .  .
 1972       .  5.1447  .  .
 1973       .  6.8237  .  .
 1974       .  5.2101  .  .
 1975       .  6.7748  .  .
 1976       .  3.8793  .  .
 1977  9.6097  8.7018  .  .
 1978  9.6005  7.1860  .  .
 1979  9.9026  5.6777  .  .
 1980  9.7921  5.5975  .  .
 1981  9.8286  6.6765  .  .
 1982  9.7075  8.0610  .  .
 1983 10.0341  7.4638  .  .
 1984 10.2713  5.9815  .  .
 1985 10.5751  6.8148  .  .
 1986 10.6233 11.0230  .  .
 1987 10.5111  5.7097  .  .
 1988 11.0396  2.0174  .  .
 1989 11.0564  2.0850  .  .
 1990 11.2071  0.6127  .  .
