1960           .                .          2000           .
1961           .                .          5300           .
1962           .                .          7300           .
1963           .                .          6500           .
1964           .                .          6200           .
1965           .                .          4500           .
1966           .                .          7024           .
1967           .            4973.9         6550           . 
1968           .            4461.7         4260           . 
1969           .            3767.9         4208           . 
1970         20.1           3763.6         5668          0.584
1971         19.4           4618.5         5707          0.573
1972         17.9           6658.9         5757          0.609
1973         16.3           9285.4         5702          0.741
1974         16.7          11879.6         3616          0.554
1975         19.6          11109.6         4125          0.775
1976         25.4           7985.5         3758          0.550
1977         34.0           5918.3         3984          0.484
1978         41.8           5182.0         4825          0.399
1979         44.7           4263.8         8110          0.531
1980         41.4           3993.9        12423          0.742
1981         34.1           3931.9        14039          0.769
1982         27.2           4442.2         9776          0.765
1983         23.4           5781           7305          0.673
1984         19.7               .          6592          0.555
1985         20.1               .          6014          0.509
1986         21.2               .          4948          0.491
1987           .                .          6222           .
1988           .                .          3860           .
1989           .                .          5128           .
