1975           .                 77           .            . 
1976          14.62                 58           .           0.817 
1977          15.63                60           .           0.343 
1978          20                 35           .           0.554 
1979          20                 46           .           0.568 
1980          17.12                 36        9167           0.659 
1981          14.19                 50        8932           0.950 
1982          10.6                 61        7911           0.868 
1983            9.68                 59        6936           0.882 
1984          10.50                  9        7373           0.895 
1985          11.28                 18        7339           0.793
1986           7.93                 34        5678 	  1.310
1987	       5.37	         19        5518   	  1.224
1988           5.34                 26        5203           1.36
1989           5.12                 37        4148          1.02
1990          4.6                  .           .            0.98
