"","assessid","stockid","common_name","lme","year","ssb","ssb_unit","recruitment","recruitment_unit"
"1","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1980,48270.35,"MT",414070,"E03"
"2","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1981,51090.88,"MT",335200,"E03"
"3","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1982,47402.54,"MT",112300,"E03"
"4","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1983,56449.01,"MT",103740,"E03"
"5","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1984,64461.28,"MT",1062360,"E03"
"6","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1985,79124.61,"MT",99630,"E03"
"7","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1986,65601.06,"MT",74880,"E03"
"8","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1987,70646.42,"MT",84820,"E03"
"9","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1988,93508.2,"MT",1006440,"E03"
"10","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1989,105135.41,"MT",119970,"E03"
"11","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1990,84252.14,"MT",158830,"E03"
"12","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1991,71852.32,"MT",79530,"E03"
"13","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1992,80238.46,"MT",163880,"E03"
"14","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1993,31921.39,"MT",158360,"E03"
"15","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1994,16738.8,"MT",270270,"E03"
"16","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1995,15675.86,"MT",122710,"E03"
"17","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1996,19882.23,"MT",23810,"E03"
"18","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1997,24354.8,"MT",27890,"E03"
"19","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1998,20521.21,"MT",20310,"E03"
"20","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",1999,16291.61,"MT",295420,"E03"
"21","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",2000,13936.21,"MT",83670,"E03"
"22","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",2001,10683.51,"MT",50050,"E03"
"23","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",2002,13007.92,"MT",55320,"E03"
"24","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",2003,17576.62,"MT",30310,"E03"
"25","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",2004,19301.84,"MT",NA,"E03"
"26","ADFG-HERRPWS-1980-2006-COLLIE","HERRPWS","Pacific herring","Gulf of Alaska",2005,13207.83,"MT",NA,"E03"
