sauptaxonkey,saupname,scientificname,commonname,areaname,primarylme,assessid,tsyear,total,total_unit,ssb,ssb_unit,catch_landings,catch_landings_unit
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1980,52824.36,"MT",48270.35,"MT",71940,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1981,63262.2,"MT",51090.88,"MT",127730,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1982,54244.23,"MT",47402.54,"MT",66270,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1983,58999.78,"MT",56449.01,"MT",23820,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1984,69818.6,"MT",64461.28,"MT",59420,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1985,85627,"MT",79124.61,"MT",62410,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1986,75240.88,"MT",65601.06,"MT",84140,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1987,75470.75,"MT",70646.42,"MT",57610,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1988,101382.44,"MT",93508.2,"MT",92680,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1989,105135.41,"MT",105135.41,"MT",4900,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1990,93423.68,"MT",84252.14,"MT",79400,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1991,84716.2,"MT",71852.32,"MT",143910,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1992,96611.72,"MT",80238.46,"MT",192220,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1993,33859.58,"MT",31921.39,"MT",22970,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1994,16738.8,"MT",16738.8,"MT",0,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1995,15675.86,"MT",15675.86,"MT",0,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1996,19882.23,"MT",19882.23,"MT",4220,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1997,28122.21,"MT",24354.8,"MT",39570,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1998,23452.01,"MT",20521.21,"MT",34270,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",1999,16335.04,"MT",16291.61,"MT",420,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",2000,13936.21,"MT",13936.21,"MT",0,"E03"
601520,"Clupea pallasii pallasii","Clupea pallasii","Pacific herring","Prince William Sound","Gulf of Alaska","ADFG-HERRPWS-1980-2006-COLLIE",2001,10683.51,"MT",10683.51,"MT",0,"E03"
