mgmt,stockid,stocklong,assessorfull,assessid
DFO,AMPL23K,American Plaice NAFO-23K,Department of Fisheries and Oceans - Newfoundland Region,DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE
DFO,AMPL3Ps,American Plaice NAFO-3Ps,Department of Fisheries and Oceans - Newfoundland Region,DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE
DFO,ESOLEHS,English sole Hecate Strait,Department of Fisheries and Oceans - Pacific Region,DFO-PAC-ESOLEHS-1944-2001-COLLIE
DFO,RSOLEHSTR,Rock sole Hecate Strait,Department of Fisheries and Oceans - Pacific Region,DFO-PAC-RSOLEHSTR-1945-2001-COLLIE
DFO,GHAL4RST,Greenland halibut NAFO 4RST,Department of Fisheries and Oceans - Quebec Region,DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE
ICES,GHALNEAR,Greenland halibut Northeast Arctic,Arctic Fisheries Working Group,AFWG-GHALNEAR-1959-2007-JENNINGS
ICES,PLAICIS,European Plaice Irish Sea,Working Group on the Assessment of Northern Shelf Demersal Stocks,WGNSDS-PLAICIS-1962-2006-MINTO
ICES,PLAICNS,European Plaice North Sea,Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak,WGNSSK-PLAICNS-1956-2006-MINTO
ICES,PLAIC7d,European Plaice ICES VIId,Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak,WGNSSK-PLAIC7d-1979-2006-MINTO
ICES,PLAICIIIa,European Plaice ICES IIIa,Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak,WGNSSK-PLAICIIIa-1976-2006-MINTO
ICES,PLAICECHW,European Plaice ICES VIIe,Working Group on the Assessment of Southern Shelf Demersal Stocks,WGSSDS-PLAICECHW-1975-2006-JENNINGS
ICES,PLAICCELT,European Plaice ICES VIIf-g,Working Group on the Assessment of Southern Shelf Demersal Stocks,WGSSDS-PLAICCELT-1976-2006-JENNINGS
IPHC,PHALNPAC,Pacific halibut North Pacific,International Pacific Halibut Commission,IPHC-PHALNPAC-1988-2009-Parma
NAFO,GHAL01ABCDEF,Greenland halibut NAFO 01ABCDEF,NAFO Scientific Council,NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE
NAFO,GHAL23KLMNO,Greenland halibut NAFO 23KLMNO,NAFO Scientific Council,NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE
NAFO,YELL3LNO,Yellowtail Flounder NAFO 3LNO,NAFO Scientific Council,NAFO-SC-YELL3LNO-1960-2009-BAUM
