"assessid","stockid","scientificname","stocklong","Fmsy","Ftype","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","minratio"
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","ALPLAICBSAI","Pleuronectes quadrituberculatus","Alaska plaice Bering Sea and Aleutian Islands","0.62","Fmsy-1/yr linked to F-1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0209677419354839,0.0274193548387097,0.0161290322580645,0.0516129032258065,0.0564516129032258,0.0258064516129032,0.0306451612903226,0.0225806451612903,0.032258064516129,0.05,0.0612903225806452,0.111290322580645,0.0451612903225806,0.154838709677419,0.0387096774193548,0.0306451612903226,0.0419354838709677,0.0532258064516129,0.0435483870967742,0.0370967741935484,0.067741935483871,0.0596774193548387,0.0790322580645161,0.0532258064516129,0.0532258064516129,0.0564516129032258,0.0338709677419355,0.0467741935483871,0.0387096774193548,0.0306451612903226,0.0467741935483871,0.0758064516129032,0.0870967741935484,0.0693548387096774,0.0161290322580645
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON","ARFLOUNDBSAI","Reinhardtius stomias","Arrowtooth flounder Bering Sea and Aleutian Islands","0.0555793","Fox Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37221114973299,0.831678336695794,0.71399452995943,0.972295562694057,1.21486165012681,1.10591565982015,0.72130560300952,0.821242115790247,0.523658439891597,0.385267548300292,0.34481935732704,0.213478138602343,0.800432364428968,0.2723097586704,0.441679735589743,0.691636765890817,0.310876685799729,0.265466977181474,0.392148945664953,0.247748165806242,0.380702196771933,0.256661746502359,0.377523236198348,0.254013436291709,0.297933847572245,0.3060344790423,0.242302576353101,0.255287945390222,0.336656612235826,0.247873618848646,0.231283773548536,0.196697135975781,0.320250245492742,0.196697135975781
"AFSC-ARFLOUNDGA-1958-2010-STANTON","ARFLOUNDGA","Reinhardtius stomias","Arrowtooth flounder Gulf of Alaska","0.0382845","Fox Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0347524220481062,0.0342562160235014,0.162850339228620,0.14978834673467,0.111408051173999,0.0858297062742962,0.121656862060846,0.0752466269084782,0.267944312648725,0.550502421742671,0.239767141612805,0.116603300533079,0.115068763521513,0.321499558069715,0.266929441112477,0.227597259123566,0.223539546561783,0.197309620662591,0.114784022717507,0.150455536891904,0.0795237609091228,0.0337112970468031,0.0252762409711998,0.0959638666663098,0.0943403481466196,0.0454338283225498,0.129818640147940,0.164963306512521,0.258827968765706,0.248796851351392,0.375989107781308,0.298196994575893,0.370390743437607,0.270525403087380,0.213621180423967,0.259940064417884,0.369931997106485,0.284037420433411,0.27413498837805,0.363777875406385,0.181460156124812,0.229942057858641,0.319853495703471,0.293663448566753,NA,NA
"AFSC-ATKABSAI-1976-2009-STANTON","ATKABSAI","Pleurogrammus monopterygius","Atka mackerel Bering Sea and Aleutian Islands","0.340916","Fox Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328750847530048,0.365461076788071,0.302251766948564,0.152100192271552,0.142313265649235,0.151216784959724,0.0926529902839833,0.280039585940411,0.347052727453837,0.344486738237245,0.238578402994914,0.219447271038819,0.126187201570182,0.123551834234438,0.162756922216242,0.197257865597956,0.294478874756706,0.366643108121459,0.498310051952013,0.681130489478121,0.456654944869985,0.450346440246186,0.423042164846505,0.39814039848724,0.460196585683549,0.2979364298732,0.308410364499977,0.299390639773306,0.353494814509332,0.395277309049527,0.326421729149171,0.365685934862781,0.0926529902839833
"AFSC-CABEZNCAL-1916-2005-STANTON","CABEZNCAL","Scorpaenichthys marmoratus","Cabezon Northern California","0.126216","Fox Fmsy",0.458737459217248,0.561182547704863,0.356645542952435,0.228511043547653,0.160608556265692,0.167405452149696,0.355568390177888,0.324869111819575,0.251759959119236,0.21571250743796,0.159841889175715,0.145729078091414,0.218406993370620,0.475755363787198,0.249723206311946,0.336544315849663,0.426514333874104,0.244744022841226,0.227441302673198,0.249407895924582,0.326070458600206,0.190752097402438,0.407873670531919,0.399119220019342,0.382971223591069,0.226384346595666,0.334210991399401,0.337919445646598,0.569390184489892,0.417001783136596,0.623306425507037,0.422716276204541,0.678550170772222,0.677688532795444,0.343775915330947,0.29931660688685,0.765215833672752,0.821090208467158,0.723206207964109,0.950145321063428,0.654156862554811,0.580101841145701,1.1918245644242,0.798761922658885,0.63816050933411,1.06344272267714,1.36229012794643,1.61327569948080,1.98144536453188,1.08415309645868,0.968035522732558,0.665693395252613,0.603615020097214,0.58511628479439,0.67389234539928,NA,NA,NA,NA,NA
"AFSC-CABEZSCAL-1932-2005-STANTON","CABEZSCAL","Scorpaenichthys marmoratus","Cabezon Southern California","0.182258","Fox Fmsy",0.0717144894549876,0.0632284773248055,0.0858602708388942,0.127946962120461,0.296530224295910,0.299153794885536,0.412977959075366,0.324496113485192,0.223634412794939,0.0576549898543691,0.0269336625692688,0.0311489390166668,0.0928387750480665,0.184586098654406,0.148711560546321,0.21569480966343,0.334099251216227,0.193057174794228,0.138522805427628,0.131146542692427,0.168585323931346,0.262441273399133,0.811046209301002,0.367195600772335,0.377533301265788,0.555062657160817,0.376309428896525,0.243337919245661,0.350176813074157,0.252213498563209,3.30396498827756,1.37958094316468,2.21102750053983,1.04199143547802,2.17628438286291,1.94508382610087,1.99425240775150,1.7890825482667,0.994716083951195,0.817322195194201,1.82415092353911,2.05631190732093,1.47135873914063,0.437935527803983,1.30904410665481,1.06749544871681,1.58856110517269,1.21656785506037,1.74147801052109,2.12094964980602,2.16161172416499,1.29213020058423,0.828613514012592,0.597624274540926,0.397656493719452,NA,NA,NA,NA,NA
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK","DUSROCKGA","Sebastes variabilis","Dusky rockfish Gulf of Alaska","0.107","Fmsy-1/yr linked to F-1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252336448598131,0.130841121495327,0.168224299065421,0.392523364485981,0.542056074766355,0.551401869158878,0.616822429906542,0.355140186915888,0.0280373831775701,0.0186915887850467,0.00934579439252337,0.364485981308411,0.532710280373832,0.485981308411215,0.560747663551402,0.869158878504673,0.841121495327103,0.850467289719626,0.785046728971963,0.672897196261682,0.616822429906542,0.663551401869159,0.897196261682243,0.80373831775701,0.616822429906542,0.654205607476636,0.542056074766355,0.485981308411215,0.420560747663551,0.411214953271028,0.542056074766355,NA,0.00934579439252337
"AFSC-FLSOLEBSAI-1977-2008-STANTON","FLSOLEBSAI","Hippoglossoides elassodon","Flathead sole Bering Sea and Aleutian Islands","0.190541","Fox Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325962987748044,0.234863159982722,0.109263507334895,0.105608362056824,0.0860871465586095,0.0641445252535596,0.0628413758654795,0.0443158240884436,0.0497241968986068,0.0417082997097774,0.0264004287225177,0.0450758310396569,0.0220616601382053,0.114048752070606,0.0770221304643904,0.0757944459084037,0.0707721645554328,0.0881492664713424,0.0769553288056625,0.0918109302973183,0.112518084484907,0.138095536982887,0.107390483182790,0.122069010198228,0.108455016165410,0.0958608311669607,0.0894751872801918,0.109290935205057,0.101472345487988,0.111403820260574,0.117557993244615,0.135782603821237,0.0220616601382053
"AFSC-GHALBSAI-1960-2009-STANTON","GHALBSAI","Reinhardtius hippoglossoides","Greenland turbot Bering Sea and Aleutian Islands","0.566","Fmsy-1/yr linked to F-1/yr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159010600706714,0.229681978798587,0.424028268551237,0.565371024734982,0.406360424028269,0.477031802120141,0.106007067137809,0.088339222614841,0.088339222614841,0.106007067137809,0.088339222614841,0.0530035335689046,0.106007067137809,0.194346289752650,0.176678445229682,0.247349823321555,0.229681978798587,0.247349823321555,0.141342756183746,0.194346289752650,0.212014134275618,0.282685512367491,0.335689045936396,0.371024734982332,0.406360424028269,0.212014134275618,0.141342756183746,0.088339222614841,0.106007067137809,0.0706713780918728,0.106007067137809,0.159010600706714,0.088339222614841,0.0353356890459364,0.088339222614841,0.141342756183746,0.123674911660777,0.088339222614841,0.106007067137809,0.159010600706714,0.106007067137809,0.141342756183746,0.123674911660777,0.088339222614841,0.088339222614841,0.0530035335689046,0.0530035335689046,0.0530035335689046,NA,0.0353356890459364
"AFSC-NROCKBSAI-1974-2009-STANTON","NROCKBSAI","Sebastes polyspinis","Northern rockfish Bering Sea and Aleutian Islands","0.0409236","Fox Fmsy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773381408023397,0.8645993731056,0.150970648897977,0.142602572997000,0.0311650684208973,0.051132520367215,0.0176681010965972,0.0439064805762249,0.0363516683572467,0.0490663674285265,0.066201116657587,0.0880134993894931,0.0608237368604888,0.225782904425566,0.125538768712499,0.259910415028773,0.731779245691404,0.638860649874125,0.554689131759427,0.894037275669999,0.287492260964430,0.48928602578319,0.717191045746198,0.652709857909425,0.819714422055623,0.515012159920872,0.621697529667891,0.589888181485444,0.49782561583686,0.477567737357125,0.495615913831636,0.108496663328850,0.0176681010965972
