"assessid","stockid","stocklong","scientificname","commonname1","tsyear","ssb","ssb_unit","r","r_unit","total","total_unit","f","f_unit","cpue","cpue_unit","catch_landings","catch_landings_unit"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,"MT"
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","SFMAKONWPAC","Shortfin mako Nothwest Pacific Ocean","Isurus oxyrinchus","Shortfin mako",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,"MT"
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1963,NA,NA,NA,NA,NA,NA,NA,NA,2.6335,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1964,NA,NA,NA,NA,NA,NA,NA,NA,1.2117,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1965,NA,NA,NA,NA,NA,NA,NA,NA,1.8215,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1966,NA,NA,NA,NA,NA,NA,NA,NA,0.8111,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1967,NA,NA,NA,NA,NA,NA,NA,NA,0.4376,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1968,NA,NA,NA,NA,NA,NA,NA,NA,0.2847,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1969,NA,NA,NA,NA,NA,NA,NA,NA,0.0539,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1970,NA,NA,NA,NA,NA,NA,NA,NA,0.0662,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1971,NA,NA,NA,NA,NA,NA,NA,NA,0.1702,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1972,NA,NA,NA,NA,NA,NA,NA,NA,0.0956,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1973,NA,NA,NA,NA,NA,NA,NA,NA,0.0038,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1974,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1975,NA,NA,NA,NA,NA,NA,NA,NA,0.0166,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1976,NA,NA,NA,NA,NA,NA,NA,NA,0.0468,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1977,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1978,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1979,NA,NA,NA,NA,NA,NA,NA,NA,0.0088,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1980,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1981,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1982,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1983,NA,NA,NA,NA,NA,NA,NA,NA,0,"kgpertow",NA,NA
"NEFSC-BSKAT5YZSNE-1963-2005-SOSEBEE","BSKAT5YZSNE","Barndoor skate Gulf of Marine / Georges Bank-Southern New England","Dipturus laevis","Barndoor skate",1984,NA,NA,NA,NA,NA,NA,NA,NA,0.01,"kgpertow",NA,NA
