"stockid","stocklong","scientificname","commonname1","assessid","tsyear","pt_avail","ssb","r","total","f","cpue","catch_landings","assessid.1","count","ssb_unit","r_unit","total_unit","f_unit","cpue_unit","catch_landings_unit"
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1975,3,1186,11542,497486,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1976,3,1349,12147,544798,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1977,3,1420,14127,552340,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1978,3,1372,10522,547308,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1979,3,1321,10647,541521,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1980,3,1315,11961,528965,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1981,3,1327,10330,511498,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1982,3,1241,16627,503633,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1983,3,1231,17326,504037,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1984,3,1230,10739,538402,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1985,3,1290,8536,600474,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1986,3,1513,11354,614898,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1987,3,1551,14751,559017,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1988,3,1342,12934,508807,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","Thunnus obesus","Bigeye tuna","IATTC-BIGEYEEPAC-1975-2007-JENSEN",1989,3,1215,9295,516981,NA,NA,NA,"IATTC-BIGEYEEPAC-1975-2007-JENSEN",99,"relative","E03","MT",NA,NA,NA
