Salvelinus fontinalis 	 Hunt Creek, Michigan 	 Number of Eggs 	 Number of Fry 	 .  
Merlangius merlangus 	 Western Black Sea 	 Thousand tonnes 	 Billions 	 Tonnes 
Oncorhynchus nerka  	 Chilko Lake, B.C.  	 Million of Eggs  	 Millions of Fry  	 . 
Perca flavescens 	 Kabegogama Lake, Minnesota 	 . 	 index 	 .  
Abramis brama 	 Lake Tjeukemeer, the Netherlands 	 Numbers per Tow 	 Numbers per Tow 	 .  
Stizostedion lucioperca 	 Lake Ijssel, the Netherlands 	 kg/ha 	 numbers per 10 min trawl 	 .  
Sardinops sagax 	 Sea of Japan 	 Ten thousand tonnes 	 Thousand millions 	 . 
Perca fluviatilis 	 Lake Constance 	 . 	 Millions 	 .  
Salvelinus fontinalis 	 Hell Diver 3 Lake, Sierra Nevada 	 Numbers 	 Numbers 	 .  
Oncorhynchus keta 	 Central Coast, B.C. 	 Thousands fish 	 Thousands 	 .  
Oncorhynchus keta 	 Hooknose Creek, B.C. 	 Thousands of eggs 	 Hundreds of fry 	 .  
Salmo salar 	 Conne River, Nfld, CA 	 millions of eggs 	 thousands of smolt 	 .  
Clupea harengus 	 Newfoundland(I) 	 .  	 .  	 .  
Mallotus villosus 	 SA2 + Div. 3KL 	 Index 	 Index 	 . 
Oncorhynchus nerka  	 Fraser River, B.C. 	 Thousand fish 	 . 	 . 
Stizostedion vitreum 	 Lake Winnibigoshish, Minnesota 	 . 	 index 	 .  
Melanogrammus aeglefinus 	 Faroe Plateau 	 Tonnes 	 Thousands 	 Tonnes 
Perca flavescens 	 Savanne Lake, Ontario 	 . 	 Median number of fish per hectare 	 .  
Mallotus villosus 	 Barents Sea 	 Thousand tonnes 	 Thousands of billions 	 Thousand tonnes 
Merlangius merlangus 	 Irish Sea 	 Tonnes 	 Millions 	 Tonnes 
Salmo salar 	 Exploits River, Bishop's Falls, Nfld, CA 	 Number of small salmon 	 . 	 .  
Decapterus rhonchus 	 N.W. Africa (CECAF 34.1.3-34.3.1) 	 . 	 Millions 	 Thousands tonnes 
Salmo salar 	 Shelligan Burn, Section D, Scotland 	 Numbers of fry per m^2 	 Numbers of 1 year olds per m^2 	 .  
Alosa kessleri  	 Black Sea 	 Tonnes  	 Millions 	 Tonnes  
Oncorhynchus nerka 	 Tahltan Lake, B.C. 	 Numbers of fish 	 Numbers of smolts 	 .  
Gadus morhua 	 North East Arctic 	 Tonnes 	 Thousands 	 Tonnes 
Merluccius bilinearis 	 NAFO 5Ze 	 Thousand tonnes 	 Millions 	 .  
Clupea harengus 	 Newfoundland(AB) 	 .  	 .  	 .  
Oncorhynchus kisutch 	 Shale Creek, Washington 	 . 	 Smolts 	 .  
Pleuronectes platessa 	 Celtic Sea  	 Tonnes 	 Thousands 	 Tonnes 
Oncorhynchus gorbuscha  	 Kitimat, B.C.  	 Fish 	 Fish 	 Fish 
Morone chrysops 	 Western Lake Erie 	 . 	 number per hour 	 .  
Stizostedion canadense 	 Lake Kabetogama, Minnesota 	 . 	 index 	 .  
Oncorhynchus gorbuscha  	 Burke, B.C.  	 Fish 	 Fish 	 Fish 
Promoxis annularis and nigromaculatus 	 Nimrod Reservoir, Arkansas 	 Number per hectare 	 Number per hectare 	 . 
Oncorhynchus nerka 	 Late Stuart Complex, B.C. 	 Fish 	 Fish 	 Fish 
Clupea harengus 	 Southern Strait of Georgia 	 Tonnes 	 Millions 	 .  
Limanda aspera 	 E. Bering Sea 	 Thousand tonnes 	 Millions 	 Thousand tonnes 
Oncorhynchus kisutch 	 Hurst Creek, Washington 	 . 	 Smolts 	 .  
Sebastes mentella 	 West Greenland  	 Thousand tonnes 	 Thousands 	 . 
Clupea harengus 	 Bothnian Bay 	 Tonnes 	 Millions 	 Tonnes 
